Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-10-23,600.79,605.0,597.23,599.41,213.96490828,128619.256154,601.123133637
2016-10-22,582.07,604.44,582.07,600.89,266.74096476,158293.843055,593.436569435
2016-10-21,578.21,584.89,578.0,582.06,301.0212762,175219.171959,582.082350361
2016-10-20,578.42,579.86,573.05,578.12,412.72117994,238514.205954,577.906387041
2016-10-19,582.28,585.14,567.74,578.45,399.41258281,231153.94682,578.734763921
2016-10-18,581.43,585.56,579.42,582.29,445.4066288,259631.837549,582.909684683
2016-10-17,586.76,587.01,580.0,581.43,288.09470974,168363.461505,584.403169557
2016-10-16,584.82,588.0,584.62,586.72,150.20500527,88116.0626565,586.638657601
2016-10-15,582.87,588.17,579.42,584.83,257.1659841,150687.442939,585.954022908
2016-10-14,576.31,584.5,573.84,582.87,307.91472991,178677.212706,580.281471946
2016-10-13,579.71,583.39,576.27,576.42,462.86270585,268338.052564,579.735738422
2016-10-12,581.67,584.06,573.53,579.71,408.89423642,237288.458613,580.317445144
2016-10-11,557.0,583.13,556.65,581.67,637.99283419,365789.891336,573.344827298
2016-10-10,555.35,557.72,546.78,557.0,474.71362252,263313.412372,554.678441654
2016-10-09,557.32,557.4,551.7,555.35,176.43036401,97907.0304547,554.932995826
2016-10-08,555.31,557.33,553.03,557.33,168.12528903,93429.8892916,555.715858278
2016-10-07,552.59,559.52,543.64,555.31,457.82938572,254345.856689,555.547251054
2016-10-06,551.65,553.28,550.16,552.69,404.8999504,223399.874034,551.740927142
2016-10-05,545.84,551.94,545.57,551.65,343.19930787,188406.760106,548.97185334
2016-10-04,547.29,552.11,544.0,545.84,471.90016998,258858.252276,548.544520098
