Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-08-12,2831.86,3076.92,2800.01,3004.54,342.66714862,1013451.02613,2957.53774534
2017-08-11,2666.25,2882.01,2637.79,2831.86,265.29858989,726443.791681,2738.21203491
2017-08-10,2591.19,2678.43,2564.27,2675.52,229.19771803,606370.782781,2645.62312397
2017-08-09,2653.15,2658.0,2500.04,2588.14,251.47271089,648259.621959,2577.8527605
2017-08-08,2626.92,2694.9,2580.64,2654.84,296.70678757,785403.159389,2647.06839308
2017-08-07,2486.56,2640.0,2452.47,2626.92,301.23070631,777086.864425,2579.70667713
2017-08-06,2506.26,2550.05,2423.34,2486.74,187.17950289,464747.155101,2482.89555173
2017-08-05,2206.84,2577.09,2200.47,2507.14,318.39875505,779614.556681,2448.5477544
2017-08-04,2137.75,2213.4,2119.84,2208.89,193.44635036,420941.66991,2176.01246612
2017-08-03,2054.88,2143.84,2054.81,2137.75,158.56996892,332028.951281,2093.89554367
2017-08-02,2084.02,2135.22,2016.06,2052.99,202.78701123,419094.475927,2066.67317293
2017-08-01,2178.99,2226.19,2017.77,2084.31,244.29572625,514560.847243,2106.30310707
2017-07-31,2090.0,2212.89,2058.3,2178.99,211.7803262,453163.443226,2139.78064609
2017-07-30,2054.53,2100.0,1971.11,2089.99,146.64184799,301754.897985,2057.76797089
2017-07-29,2140.31,2142.17,2042.43,2075.17,166.00703166,345363.874674,2080.4171439
2017-07-28,2042.04,2176.55,1985.0,2137.6,304.63882871,641523.0528,2105.84794958
2017-07-27,1939.45,2060.36,1934.33,2048.33,163.73110628,324856.123566,1984.08311619
2017-07-26,1984.03,2025.2,1857.0,1939.44,315.14417671,606328.702057,1923.97241284
2017-07-25,2138.0,2148.66,1871.45,1976.85,352.76405397,700633.703442,1986.12555774
2017-07-24,2125.41,2168.29,2100.12,2134.79,146.0400904,311742.315974,2134.63518901
2017-07-23,2190.36,2208.75,2074.11,2135.06,159.12726957,341507.280881,2146.12669346
2017-07-22,2056.17,2217.24,2037.39,2187.47,175.02023278,378991.153049,2165.41337552
2017-07-21,2196.58,2222.52,2002.73,2066.32,238.09752438,500818.856868,2103.41900099
2017-07-20,1747.97,2267.85,1747.97,2188.35,487.85205443,973776.32328,1996.04842172
2017-07-19,1775.54,1848.49,1710.99,1746.67,217.4239654,387058.164587,1780.20009834
2017-07-18,1721.87,1837.79,1646.75,1776.29,377.17454193,666211.938269,1766.32265492
2017-07-17,1473.38,1724.79,1465.58,1717.91,455.43392684,733996.995607,1611.64320959
